label,news
false,says the annies list political group supports third-trimester abortions on demand.
true,when did the decline of coal start? it started when natural gas took off that started to begin in (president george w.) bushs administration.
true,"hillary clinton agrees with john mccain ""by voting to give george bush the benefit of the doubt on iran."""
false,health care reform legislation is likely to mandate free sex change surgeries.
true,the economic turnaround started at the end of my term.
true,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.
false,jim dunnam has not lived in the district he represents for years now.
true,"i'm the only person on this stage who has worked actively just last year passing, along with russ feingold, some of the toughest ethics reform since watergate."
true,"however, it took $19.5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center-pacific."
true,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost $788 million in higher electricity costs.
true,"for the first time in history, the share of the national popular vote margin is smaller than the latino vote margin."
true,"since 2000, nearly 12 million americans have slipped out of the middle class and into poverty."
false,"when mitt romney was governor of massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."
true,the economy bled $24 billion due to the government shutdown.
false,most of the (affordable care act) has already in some sense been waived or otherwise suspended.
true,"in this last election in november, ... 63 percent of the american people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."
true,mccain opposed a requirement that the government buy american-made motorcycles. and he said all buy-american provisions were quote 'disgraceful.' 
false,"u.s. rep. ron kind, d-wis., and his fellow democrats went on a spending spree and now their credit card is maxed out"
true,"water rates in manila, philippines, were raised up to 845 percent when a subsidiary of the world bank became a partial owner."
true,"almost 100,000 people left puerto rico last year."
false,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor.
true,the united states has the highest corporate tax rate in the free world.
true,we just had the best year for the auto industry in america in history.
true,"says scott walker favors cutting up to 350,000 families and children off health care."
false,says mitt romney wants to get rid of planned parenthood.
false,i dont know who (jonathan gruber) is.
true,hate crimes against american muslims and mosques have tripled after paris and san bernardino.
true,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections.
false,"isis supporter tweeted at 10:34 a.m. shooting began at 10:45 a.m. in chattanooga, tenn."
true,youth unemployment in minority communities is about 40 to 45 percent.
true,says paul ryan is still endorsing trump.
false,"if you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates."
false,what (the obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
true,we cut business taxes so today 70 percent of our businesses dont pay a business tax.
true,says mark pryor votes with obama 93 percent of the time.
true,we have a federal government that thinks they have the authority to regulate our toilet seats.
true,austin is a city that has basically doubled in size every 25 years or so since it was founded.
true,"the nuclear test conducted in our nation this time is the earth's 2,054th nuclear test. the five permanent members of the u.n. security council have conducted 99.99 percent of the total nuclear tests."
false,"in the case of a catastrophic event, the atlanta-area offices of the centers for disease control and prevention will self-destruct."
true,"under president george w. bush, we added $4.9 trillion to the debt. under president obama weve added $6.5 trillion to the debt."
false,says a u.s. supreme court justice suggested that some u.s. cases will be decided based on south african law.
true,says marco rubio skipped 18 defense votes including one to arm the kurds to fight isis.
false,"rep. david cicilline is responsible for the federal loan guarantee to solyndra, the failed solar company"
false,says ohio budget item later signed into law by gov. john kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
false,we have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
true,african-american youth unemployment is 51 percent. hispanic youth unemployment is 36 percent.
false,"obamacare will provide insurance to all non-u.s. residents, even if they are here illegally."
false,president barack obama took exactly none of his own deficit reduction commissions ideas. not one.
false,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost (capt. humayun khans) life.
true,hillary clinton in 2005 co-sponsored legislation that would jail flag burners.
false,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country
false,"maggie hassan raised tuition, making it the highest in america."
false,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom.
true,"we created 800,000 new jobs, we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history"
false,"we have towns in west texas that are out of water, that are having to truck in water."
true,"in georgia, women earn 82 cents for every dollar earned by men."
true,a federal system that verifies employees are authorized to work in the u.s. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.
false,"they were going to build the wall a while ago, not so long ago, like in 06. and they couldnt get environmental impact statements."
false,sen. obama's campaign announced that he's choosing his cabinet.
true,"in 2008, only 54 percent of latinos in texas were registered to vote and only 35 percent actually turned out."
false,only 2 percent of public high schools in the country offer pe classes.
true,"said he's the only republican candidate ""who's actually turned around a government economy."""
true,"on military recruiters at harvard, elena kagan ""took a position and the supreme court ruled unanimously that she was wrong."""
true,"there are 321,092 public school teachers in texas. and there are 313,850 non-teachers in our public schools."
false,"under mayor cicilline, [providence] was a sanctuary city."
false,transgender individuals in the u.s. have a 1-in-12 chance of being murdered.
true,"at bain capital, we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised."
false,"says the man who rushed the stage at him in dayton, ohio, had chatter about isis, or with isis in his social media posts."
false,u.s. rep. phil gingrey gave the government the power to electronically spy on americans without a warrant.
false,alex sink funneled three quarters of a million dollars in no-bid contracts to bank of america.
true,"if you take the population growth here in virginia, we are net zero on job creation since (bob mcdonnell) became governor."
false,"under obama, home values in florida collapsed, construction jobs were lost and the state had a high foreclosure rate."
true,"the new arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""
true,the only time in our history when the debt has been higher than this was the end of world war ii.
true,the cost of health care is now the single-biggest factor driving down the federal budget deficit.
true,"during the recession, the consumer in his native perversity has begun to save. the savings rate is now 6.2 percent."
false,on whether a u.s. supreme court nominee should be forthcoming at confirmation hearings.
false,says one out of three u.s. homeless men is a veteran.
false,says charlie crist supports cuts to the medicare advantage program.
true,i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together -- forget the united states.
true,says scott brown co-sponsored legislation to let employers deny women coverage for birth control.
true,"at some point in their lives, 99% of women use birth control."
false,"in the past 20 years, egypt has made great strides in political and democratic reform."
false,the amount of attention paid this week to chris christie makes the coverage of benghazi ... pale in significance.
true,says u.s. rep. steve southerland voted to keep the shutdown going.
true,"in rick perrys texas, we import nurses ... from other countries."
true,there is a federal criminal law that says its a crime to transport dentures across state lines.
true,we built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
false,"sen. mccain's tax plan provides ""virtually nothing to the middle class."""
false,austin is burdened by the fastest-growing tax increases of any major city in the nation.
false,"phoenix, arizona, is the no. 2 kidnapping capital of the world."
true,i belong to the afl-cio.
true,the insurance commissioner cant do squat about health care.
true,says a poll found him the only republican candidate who could beat barack obama in texas -- and by eight points.
false,"president ronald reagan sent troops into conflict only in one circumstance, which was in grenada we were in a peacekeeping setting in lebanon."
false,says david jolly supports privatizing social security.
true,did you know us population growth is at its lowest since the great depression?
true,"the average student in florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones."
true,"since 1968, more americans have died from gunfire than died in all the wars of this countrys history."
true,a foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.
false,the florida department of agricultures website freshfromflorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.
false,"the atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years."
true,"raising the minimum wage to $10.10 an hour, would help lift over a million americans out of poverty."
true,"says secretary of state john kerry, when he was a senator, flew to managua and met with a communist dictator there, daniel ortega, and accused the reagan administration of engaging in terrorism."
false,"nato is opening up a major terror division. ... im sure im not going to get credit for it, but that was largely because of what i was saying and my criticism of nato."
true,sen. obama has always had a 100 percent prochoice rating.
true,"since gina raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million."
true,the (federal) debt is growing by more than $4 billion a day.
true,"under president barack obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers."
false,"of our 98,000 teachers who are k-12, over 53,000 of those teachers today are over 50 years old."
true,two-thirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.
true,"under president obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year."
true,"the irs also investigated liberal groups, groups that had progressive in their name. ... the irs was basically looking at everybody."
false,says obama promised unemployment would never go above 8 percent.
true,the economy is creating jobs at the fastest pace since 1999.
true,president obama decided not to meet with prime minister benjamin netanyahu in new york.
true,"in a majority of states, you can now marry freely, but can still be fired for who you love."
false,say oregon reps. peter defazio and earl blumenauer are socialists who are openly serving in the u.s. congress.
false,"rudy giuliani is ""probably the most underqualified man since george bush to seek the presidency."""
